alias;count;time
A1;31;11.020616054534912
C1;22;10.018873929977417
B2;28;4.0112597942352295
A2;29;9.01184892654419
C2;26;9.011836051940918
B1;27;11.012203931808472
B2;29;4.010497093200684
C1;23;8.01679801940918
A1;32;12.01249885559082
C2;27;9.012179851531982
B1;28;9.013593912124634
B2;30;9.015837907791138
A2;30;12.01128101348877
A1;33;5.012551784515381
C1;24;8.02029800415039
B2;31;9.021443128585815
B1;29;11.016515016555786
C2;28;12.012284278869629
A2;31;11.011758089065552
C1;25;10.021605014801025
B1;30;4.0207908153533936
A1;34;12.014348030090332
C2;29;5.019953012466431
C1;26;5.021412134170532
B2;32;11.13132095336914
A2;32;10.014050006866455
C1;27;6.020292043685913
C2;30;9.020044088363647
A1;35;11.02440595626831
B1;31;12.020373106002808
B2;33;6.022382020950317
A2;33;7.015550851821899
A1;36;5.013442754745483
C1;28;8.02444314956665
C2;31;9.02717900276184
B2;34;7.013253211975098
B1;32;8.018681049346924
A2;34;7.013724088668823
B1;33;5.013095855712891
C1;29;8.023261785507202
C2;32;7.020310163497925
A1;37;10.013583898544312
B2;35;9.015187978744507
A1;38;3.020890951156616
A2;35;11.014209985733032
B1;34;8.010842084884644
C2;33;9.087284088134766
B2;36;8.030871152877808
C1;30;12.017043828964233
A1;39;11.01737093925476
A2;36;9.011615991592407
B1;35;9.010394811630249
B2;37;7.017802953720093
C2;34;10.02608609199524
A2;37;4.01637601852417
C1;31;9.016618013381958
B2;38;5.014532089233398
A1;40;8.012136936187744
A2;38;3.0108628273010254
B1;36;7.013453960418701
A2;39;3.0115787982940674
B2;39;4.012440919876099
C2;35;9.01403021812439
C1;32;9.020073890686035
B2;40;5.013519763946533
B1;37;11.011430263519287
A1;41;12.014678955078125
A2;40;9.010307788848877
C2;36;8.010048151016235
B2;41;8.009872913360596
C1;33;10.013028860092163
B1;38;7.016921043395996
B2;42;4.011153936386108
B1;39;4.017338037490845
C2;37;10.012288093566895
A1;42;12.01402497291565
A2;41;12.013330936431885
A2;42;3.017796039581299
B2;43;7.012334823608398
C1;34;12.02177882194519
B1;40;7.011581897735596
C2;38;8.013437747955322
A1;43;10.013664960861206
A2;43;7.01617693901062
B2;44;11.017383813858032
A2;44;5.023369073867798
C1;35;11.024487972259521
B1;41;12.01986289024353
C2;39;10.010752201080322
A1;44;10.011992931365967
B1;42;4.02734899520874
B2;45;9.019458055496216
A2;45;10.017827987670898
B1;43;5.025408029556274
A1;45;7.012961149215698
B2;46;4.017301797866821
C1;36;12.01712703704834
C2;40;12.016830921173096
C1;37;6.021190166473389
C2;41;7.016143798828125
A2;46;12.109495162963867
B1;44;12.036257028579712
A1;46;12.021481990814209
B2;47;12.014319896697998
A2;47;4.022205114364624
A1;47;4.015447616577148
B2;48;4.01299786567688
C1;38;10.020812034606934
A2;48;3.0203583240509033
C2;42;10.014875888824463
B2;49;4.0109148025512695
C1;39;5.025384902954102
B1;45;11.02529001235962
A2;49;6.02338981628418
A1;48;9.020818948745728
B1;46;4.020610094070435
B2;50;8.010274887084961
A1;49;4.013154029846191
C2;43;10.012798309326172
B1;47;7.020245790481567
C1;40;12.020869970321655
A2;50;11.019633054733276
B2;51;7.015276908874512
A1;50;7.01157808303833
B1;48;5.018366813659668
A2;51;4.016018867492676
C2;44;11.015764951705933
A1;51;6.014948844909668
B1;49;4.013362884521484
B2;52;9.015718936920166
C1;41;11.023124933242798
A1;52;5.0153748989105225
A2;52;10.01327109336853
B2;53;4.013827085494995
C2;45;10.019737958908081
A1;53;7.012324094772339
B1;50;12.019354104995728
C1;42;11.017839193344116
A2;53;9.01620602607727
B2;54;12.017214059829712
C2;46;12.01244306564331
A2;54;5.012743234634399
A1;54;9.014344930648804
C1;43;8.023281812667847
B1;51;12.01963186264038
C2;47;7.012858867645264
A2;55;7.015221118927002
A1;55;7.019548177719116
B1;52;5.01854395866394
B2;55;11.010832786560059
C1;44;8.022916078567505
C2;48;5.012080907821655
A2;56;5.010178804397583
B2;56;5.013512849807739
B1;53;7.012972116470337
C2;49;6.015252113342285
A2;57;6.010967969894409
B2;57;4.011729955673218
A1;56;12.075738906860352
C1;45;12.020122051239014
B1;54;7.011056900024414
B2;58;6.0085461139678955
A1;57;5.012853622436523
B1;55;4.015387296676636
C1;46;6.010682106018066
A2;58;11.011817932128906
C2;50;12.012670755386353
A1;58;8.02171802520752
B2;59;9.020581722259521
B1;56;12.019861936569214
C1;47;12.018862962722778
A2;59;11.012196779251099
C2;51;11.023032903671265
A1;59;9.016930103302002
A2;60;5.011070013046265
B2;60;12.01522421836853
B1;57;11.016566038131714
C2;52;10.031319856643677
C1;48;12.023079872131348
A1;60;11.022315979003906
B2;61;9.020084142684937
A2;61;10.019185066223145
A1;61;5.030521869659424
A2;62;3.026404857635498
B1;58;12.013806819915771
C2;53;11.017459154129028
C1;49;11.022080183029175
B2;62;10.029546022415161
A1;62;7.015758037567139
A2;63;9.019525289535522
A1;63;4.017990827560425
B2;63;6.12576699256897
B1;59;9.017100095748901
C2;54;11.014320135116577
C1;50;12.018460988998413
A1;64;7.063096761703491
A2;64;11.021552801132202
C2;55;8.014549016952515
A2;65;3.013605833053589
B1;60;11.016069889068604
B2;64;12.013268947601318
A1;65;10.018108129501343
C1;51;11.018095016479492
B1;61;4.0152671337127686
B1;62;4.015528917312622
A2;66;9.011075019836426
C2;56;10.01875114440918
A1;66;6.018222093582153
B2;65;11.01456594467163
A2;67;4.014754056930542
C1;52;12.02208399772644
B1;63;8.011866092681885
A2;68;4.015899181365967
B2;66;5.015336036682129
A1;67;9.02514100074768
C2;57;11.017696857452393
B1;64;5.015270233154297
B2;67;5.015608072280884
C2;58;3.0133888721466064
C1;53;8.022500038146973
A2;69;8.013943910598755
B1;65;4.013617992401123
A1;68;8.01658296585083
B1;66;4.015929222106934
A2;70;7.0147809982299805
B2;68;11.022101879119873
C1;54;9.02305293083191
C2;59;11.018846035003662
A2;71;4.026458978652954
A1;69;12.013936996459961
B1;67;10.021196126937866
A2;72;4.018245220184326
C1;55;8.011674880981445
A1;70;3.0241620540618896
C2;60;8.028748035430908
B2;69;10.026740074157715
B1;68;4.022553205490112
B2;70;4.022439241409302
A1;71;5.016119003295898
B1;69;4.014896869659424
A2;73;9.01830506324768
C1;56;8.021397113800049
A1;72;3.0116658210754395
B2;71;4.0255067348480225
C2;61;9.023748874664307
B1;70;10.013861179351807
B2;72;7.013024091720581
C1;57;9.014178037643433
A2;74;10.011461973190308
A1;73;9.020526885986328
B1;71;4.0167388916015625
C2;62;11.022951364517212
A2;75;6.012160062789917
B2;73;7.02862286567688
C1;58;12.017033100128174
B2;74;6.02307391166687
A1;74;12.017944097518921
C2;63;9.022917985916138
A2;76;7.015146017074585
B1;72;12.018512964248657
A1;75;4.0143561363220215
B1;73;5.017246961593628
B2;75;8.017857074737549
C1;59;9.02512001991272
A1;76;5.02134108543396
B1;74;4.019457101821899
A2;77;11.012779951095581
C2;64;12.019467115402222
B2;76;5.015038013458252
C1;60;9.014769315719604
A1;77;9.015188932418823
B1;75;8.015333890914917
C2;65;8.01741099357605
A2;78;12.021285057067871
B2;77;11.018415927886963
A1;78;7.011765003204346
B1;76;7.013826131820679
C1;61;12.013620138168335
C2;66;9.02410888671875
A2;79;7.0191826820373535
B2;78;7.015412330627441
A1;79;6.013008117675781
B2;79;5.021068096160889
A2;80;7.01979398727417
B1;77;12.018876791000366
A1;80;8.021496772766113
C1;62;10.015249252319336
C2;67;12.02636432647705
A2;81;4.020208835601807
A1;81;3.0155692100524902
B1;78;5.017019271850586
B2;80;8.015202760696411
A2;82;3.020746946334839
C1;63;7.016114950180054
B1;79;5.020829916000366
C2;68;8.023272037506104
B2;81;7.025413990020752
A1;82;9.013970375061035
B1;80;4.013160943984985
A1;83;4.014543294906616
A2;83;11.018473863601685
C1;64;12.022016048431396
B2;82;8.01482892036438
C2;69;10.02883791923523
B1;81;12.013309001922607
A1;84;10.019211053848267
C1;65;7.024748802185059
A2;84;10.024861097335815
B2;83;7.013566017150879
A1;85;5.013484001159668
A2;85;5.014029026031494
C2;70;12.016361951828003
C1;66;7.016916036605835
A1;86;3.010528087615967
B1;82;11.017888069152832
B2;84;10.014595985412598
A2;86;6.025807857513428
C2;71;8.020896911621094
A1;87;7.011466979980469
C1;67;11.017489194869995
A2;87;7.0191569328308105
A1;88;4.0102458000183105
B1;83;11.016270160675049
B2;85;11.027058124542236
C2;72;8.020920991897583
A2;88;7.0193071365356445
A1;89;7.023385763168335
B1;84;5.067657947540283
C1;68;12.014237880706787
C2;73;8.015841722488403
B1;85;4.014188051223755
A2;89;7.022125959396362
A1;90;7.026170969009399
B2;86;12.028906106948853
C2;74;6.014484882354736
C1;69;9.018125057220459
B1;86;9.012049913406372
A2;90;10.014945030212402
B2;87;11.02419924736023
A1;91;12.063719987869263
B1;87;6.018537998199463
C2;75;11.018128871917725
C1;70;9.022107124328613
B1;88;4.015046834945679
A1;92;6.017699718475342
C2;76;4.017304182052612
C1;71;6.14186692237854
A2;91;12.01152491569519
B2;88;10.013454914093018
B1;89;6.010296106338501
C2;77;6.018375873565674
B1;90;4.014277935028076
A1;93;10.02444076538086
B2;89;7.008507251739502
C1;72;9.019815921783447
B1;91;4.019620180130005
A1;94;5.014147043228149
A2;92;12.022153854370117
C2;78;10.02634882926941
A1;95;4.012662172317505
B1;92;7.020524978637695
B2;90;9.012031078338623
C1;73;11.023598909378052
A2;93;8.032793760299683
B1;93;6.020373821258545
B2;91;6.024120807647705
A1;96;7.012660026550293
C2;79;11.025521993637085
A1;97;5.012473106384277
B1;94;6.023532867431641
A2;94;9.17205023765564
C1;74;10.01567006111145
B2;92;9.0226571559906
B1;95;4.015221834182739
C2;80;10.019836902618408
A1;98;8.017693042755127
C1;75;7.02095890045166
A2;95;10.02420711517334
B2;93;10.025954961776733
B1;96;12.0157151222229
C2;81;11.020557880401611
A1;99;10.023773908615112
A2;96;9.021698951721191
C1;76;12.02377700805664
B1;97;5.012641906738281
C2;82;5.02398681640625
B2;94;9.01642394065857
A1;100;6.013941049575806
A2;97;7.014631986618042
C2;83;6.024019002914429
B2;95;7.021398067474365
C1;77;11.020466089248657
B1;98;12.020967960357666
C2;84;7.01800799369812
A2;98;11.023109197616577
B1;99;7.0202250480651855
B2;96;11.019905090332031
C1;78;10.013154983520508
C2;85;12.01556396484375
A2;99;10.107187032699585
C1;79;8.011934041976929
B1;100;10.01802921295166
B2;97;12.016578197479248
A2;100;4.023953914642334
C2;86;12.017673015594482
C1;80;11.01995587348938
B2;98;10.020126104354858
C1;81;6.015736818313599
C2;87;9.023530006408691
B2;99;8.016424894332886
C1;82;11.02495813369751
C2;88;10.026144981384277
B2;100;10.019196033477783
C2;89;5.022017002105713
C1;83;11.013590097427368
C2;90;10.018378019332886
C1;84;9.020925998687744
C2;91;9.017157077789307
C1;85;12.017350912094116
C2;92;11.020777940750122
C1;86;10.017279386520386
C2;93;10.020648956298828
C1;87;8.018229961395264
C2;94;11.019309043884277
C1;88;11.014231204986572
C2;95;5.0205771923065186
C1;89;7.0166850090026855
C2;96;12.017100095748901
C1;90;12.024259805679321
C2;97;10.020518064498901
C1;91;10.021423816680908
C2;98;11.024558067321777
C1;92;10.014205932617188
C2;99;9.019200086593628
C1;93;12.01234221458435
C2;100;12.01552414894104
C1;94;11.016610860824585
C1;95;11.017513990402222
C1;96;6.0221638679504395
C1;97;12.017391920089722
C1;98;11.010761976242065
C1;99;10.025224208831787
C1;100;7.026401042938232
